FACILITY_NAME,COCHILCO_CU_2024_KMT,product_type,nearest_port,distance_km
Andacollo Oro,39.7451562404523,unknown,Coquimbo,38.51621859185229
Andina,181.609,concentrate,Ventanas,123.97823446686678
Antucoya,80.379589,cathode,Angamos,75.27316656343642
Candelaria,142.066723479145,concentrate,Caldera,72.13169043886862
Caserones,124.611557610841,concentrate,Caldera,175.3015420563815
Centinela,121.837534678288,concentrate,Angamos,138.08310854311253
Cerro Negro,4.182,concentrate,Ventanas,61.93541649352841
Chuquicamata,289.013,concentrate,Angamos,179.95786403344124
Collahuasi,558.610520860545,concentrate,Patache,158.76733756545642
Distrito Michilla,19.912128,cathode,Angamos,52.57900852794339
El Abra,99.097,cathode,Patache,190.3154476850074
El Soldado,48.17,cathode,Ventanas,36.75009544823591
El Teniente,356.373,concentrate,San Antonio,130.89847625230163
Escondida,1277.539311,concentrate,Coloso,152.53827147263223
Franke,12.189812,cathode,Caldera,167.62976623594787
Gabriela Mistral,103.075,cathode,Antofagasta (ATI),164.03260017939107
Las Luces,32.078,cathode,Caldera,155.9356714469943
Lomas Bayas,74.392919,cathode,Antofagasta (ATI),94.23394367463794
Los Bronces,172.445,concentrate,Ventanas,121.37421891178862
Los Pelambres,331.228,concentrate,Ventanas,147.2384521048894
Mantos Blancos,44.56999999999999,cathode,Antofagasta (ATI),41.962255017448406
Mantos de la Luna,10.1619,cathode,Angamos,82.37394696307574
Mantoverde,57.70583736191119,cathode,Caldera,75.7634302804072
Ministro Hales,122.208,concentrate,Angamos,174.10108828156137
Quebrada Blanca,207.768,concentrate,Patache,148.05746044167185
Radomiro Tomic,270.479,cathode,Angamos,185.18811480532287
Salvador,5.673,cathode,Caldera,154.68557949678444
Sierra Gorda,154.558723837028,concentrate,Angamos,114.1873092935915
Spence,255.586,concentrate,Angamos,125.37985608853887
